KR7A00031500,19951124,A000315,6600,6400,6600,6400,2,200,3.125,,1550,992600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049055,0,5000,,,,,,,,,,,,,,,,00,,,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000320002,19951124,A000320,32900,32000,32900,32000,2,900,2.8125,,1570,50556000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9401910,32000,500,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.05142231,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000321000,19951124,A000325,15900,16000,16000,15900,3,0,0,,350,5590000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507000,15900,500,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.03826367,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000360008,19951124,A000360,20400,20200,20500,20200,2,400,2,,32080,652372000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8366026,20000,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,1.962631,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000361006,19951124,A000365,10200,9700,10200,9700,2,500,5.154639,,6130,62068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450194,9700,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,1.981571,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000370007,19951124,A000370,29300,29300,29900,29300,3,0,0,,11940,353495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6661140,29300,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,3.083158,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000390005,19951124,A000390,30000,28500,30000,28500,2,600,2.040816,,2860,84525000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17200000,29400,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.07046454,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000400002,19951124,A000400,33900,33500,34000,33500,2,600,1.801802,,16440,556156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19500000,33300,1000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,1.691845,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000420000,19951124,A000420,23900,23500,24200,23500,2,400,1.702128,,8320,199492000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3676815,23500,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.4216411,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000421008,19951124,A000425,13400,13400,13500,13400,2,200,1.515152,,720,9652000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851016,13200,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.2398647,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000430009,19951124,A000430,18800,18500,19000,18500,2,300,1.621622,,1970,36906000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000000,18500,500,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.09618272,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000470005,19951124,A000470,64800,64500,65000,64000,2,800,1.25,,18530,1196311000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1869155,64000,5000,,0,0,0,,0,0,0,,,,,0,0,0,01,1,8.757642,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7A00047500,19951124,A000475,43500,43000,43900,42300,2,500,1.162791,,4420,18947400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373846,0,5000,,,,,,,,,,,,,,,,00,,,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000480004,19951124,A000480,31200,30500,31200,30500,2,500,1.628664,,2760,85489000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000,30700,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.6259679,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000490003,19951124,A000490,14300,14200,14300,14000,2,300,2.142857,,46950,663274000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21843825,14000,1000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.1498667,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000500009,19951124,A000500,21200,21100,21300,20800,2,200,0.952381,,48520,1021637000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600000,21000,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.8134438,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000520007,19951124,A000520,16800,16800,17200,16600,3,0,0,,4130,70032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4368000,16800,1000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,0.1555937,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
KR7000540005,19951124,A000540,28000,28100,28600,27900,2,100,0.3584229,,18770,530847000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712000,27900,5000,,0,0,0,,0,0,0,,,,,0,0,0,00,1,1.874413,,,,,,,,,,,,00,,,00,00,,,,,,,,,,,,,,,,,,
